time(UTC),Building1,Building2,Building3,Building4
2016-01-15 13:00:00+00:00,167.75,771.5,1119.0,280.75
2016-01-15 14:00:00+00:00,336.25,842.75,1287.25,280.0
2016-01-15 15:00:00+00:00,297.5,471.25,1350.0,328.75
2016-01-15 16:00:00+00:00,223.0,488.5,1733.75,306.0
2016-01-15 17:00:00+00:00,337.5,2337.0,2560.0,274.25
2016-01-15 18:00:00+00:00,356.5,3301.0,3385.75,3148.0
2016-01-15 19:00:00+00:00,986.5,5244.25,3993.25,1750.25
2016-01-15 20:00:00+00:00,739.0,721.5,2064.25,2986.0
2016-01-15 21:00:00+00:00,692.5,3177.0,2631.75,2537.5
2016-01-15 22:00:00+00:00,783.0,3575.5,2782.25,1126.25
2016-01-15 23:00:00+00:00,325.0,617.0,2412.25,389.0
2016-01-16 00:00:00+00:00,188.75,311.5,2418.0,372.75
2016-01-16 01:00:00+00:00,234.75,406.75,1222.0,243.5
2016-01-16 02:00:00+00:00,184.5,400.0,1985.75,357.0
2016-01-16 03:00:00+00:00,200.25,417.5,1119.75,313.0
2016-01-16 04:00:00+00:00,247.25,398.5,1120.0,259.75
2016-01-16 05:00:00+00:00,173.5,442.0,3481.5,313.0
2016-01-16 06:00:00+00:00,352.0,915.25,3233.5,426.5
2016-01-16 07:00:00+00:00,522.0,1219.0,3074.25,658.75
2016-01-16 08:00:00+00:00,208.75,686.25,2296.25,4285.75
2016-01-16 09:00:00+00:00,231.0,435.75,1367.75,859.5
2016-01-16 10:00:00+00:00,160.5,404.5,962.75,767.25
2016-01-16 11:00:00+00:00,190.5,478.0,2080.75,641.5
2016-01-16 12:00:00+00:00,206.0,907.75,1006.75,1520.0
2016-01-16 13:00:00+00:00,443.0,426.0,2351.25,1690.5
2016-01-16 14:00:00+00:00,724.0,282.25,994.75,11329.75
2016-01-16 15:00:00+00:00,277.75,239.25,912.75,4372.75
2016-01-16 16:00:00+00:00,881.5,470.75,1239.75,5127.5
2016-01-16 17:00:00+00:00,530.75,718.0,2514.0,5547.5
2016-01-16 18:00:00+00:00,373.75,1138.0,3122.5,4581.25
2016-01-16 19:00:00+00:00,2054.75,2052.5,1977.25,1368.75
2016-01-16 20:00:00+00:00,1029.0,902.0,5380.5,603.0
2016-01-16 21:00:00+00:00,608.75,792.5,2354.0,472.5
2016-01-16 22:00:00+00:00,655.75,1632.5,1296.25,479.5
2016-01-16 23:00:00+00:00,787.25,2915.5,2071.0,264.75
2016-01-17 00:00:00+00:00,321.5,354.5,1571.25,154.25
2016-01-17 01:00:00+00:00,227.75,419.75,1075.5,187.25
2016-01-17 02:00:00+00:00,250.0,467.5,1035.5,294.75
2016-01-17 03:00:00+00:00,199.75,309.25,992.75,285.25
2016-01-17 04:00:00+00:00,214.0,415.25,1384.5,245.0
2016-01-17 05:00:00+00:00,228.5,416.25,2580.5,239.0
2016-01-17 06:00:00+00:00,527.25,834.5,2839.75,442.5
2016-01-17 07:00:00+00:00,348.75,1177.75,2451.75,612.25
2016-01-17 08:00:00+00:00,210.75,922.5,1694.0,264.5
2016-01-17 09:00:00+00:00,173.75,633.75,1145.25,303.0
2016-01-17 10:00:00+00:00,235.5,892.25,1364.5,339.0
2016-01-17 11:00:00+00:00,381.0,566.0,1117.25,325.5
2016-01-17 12:00:00+00:00,394.0,535.75,4633.0,304.25
2016-01-17 13:00:00+00:00,510.5,2340.75,1662.25,394.5
2016-01-17 14:00:00+00:00,574.25,722.0,6374.0,415.75
2016-01-17 15:00:00+00:00,3644.25,643.5,5196.75,538.25
2016-01-17 16:00:00+00:00,1087.5,757.25,6993.0,483.5
2016-01-17 17:00:00+00:00,413.75,500.75,1657.0,300.0
2016-01-17 18:00:00+00:00,902.25,4299.75,3363.75,472.75
2016-01-17 19:00:00+00:00,732.0,2331.25,4739.25,1992.25
2016-01-17 20:00:00+00:00,1343.75,973.75,9046.75,675.75
