id,nom,T_aller,T_retour,Id_Parc,no_parc,qlEner_iEGID,qlEner_sCommune,qlEner_sRue,qlEner_sNoRue,qlEner_sType,qlEner_Conso,qlEner_iCuisson,qlEner_sRecommendation,qlEner_iEDID,Année_construction,Période_de_construction,Année_de_rénovation_du_bâtiment,Surface_bâtiment,Nombre_de_niveau,SRE_calculée,qlEner_Densité,qlEner_iConsoRenov,geometry
0.0,Ruffy,175.0,75.0,1322110.0,2110.0,881508.0,Lausanne,Chemin du Devin,66,CAD,2087.7,,Déjà raccordé,0.0,1965.0,8014.0,0.0,340.0,6.0,1632.0,1279.22794117647,,MULTIPOINT (2539836.350000047 1153556.0230047016)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325523.0,5523.0,885605.0,Lausanne,Avenue de Mon-Loisir,15,Gaz,1494.666608,,CAD actuel,0.0,1913.0,8011.0,0.0,369.0,4.0,1180.80005,1265.80844173442,,MULTIPOINT (2538046.540000051 1151423.9410049312)
,,,,1326834.0,6834.0,881957.0,Lausanne,Avenue de Chailly,38,Gaz,275.271996,,CAD futur,0.0,1930.0,8012.0,0.0,137.0,2.0,219.199997,1255.80290145985,,MULTIPOINT (2539800.802000048 1152794.4580047803)
,,,,,,300000225.0,Lausanne,Rue Mathurin-Cordier,10,CAD,873.2,,Déjà raccordé,0.0,1960.0,8013.0,0.0,882.0,1.0,705.599976,1237.5283446712,,MULTIPOINT (2538889.8370000487 1152674.3780048008)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325084.0,5084.0,300000381.0,Lausanne,Chemin de Bellerive,36,Gaz,1415.424205,,Sondes,0.0,1992.0,8018.0,0.0,1438.0,1.0,1150.40002,1230.37569975661,,MULTIPOINT (2537068.194000052 1151477.1570049264)
,,,,,,887478.0,Lausanne,Route de Berne,300,Gaz,1076.778189,,Gaz conservé,0.0,1795.0,8011.0,0.0,368.0,3.0,883.200012,1219.178203125,,MULTIPOINT (2542775.083000041 1157326.1920042953)
0.0,Vallon,175.0,75.0,1322858.0,2858.0,880561.0,Lausanne,Route du Signal,18,Gaz,145.35564,,Sondes,0.0,1947.0,8013.0,0.0,75.0,2.0,120.0,1211.297,,MULTIPOINT (2538552.8310000477 1153719.0680046873)
0.0,Sud-Ouest / Cadouest,130.0,70.0,132583.0,583.0,884358.0,Lausanne,Avenue de Tivoli,38,Gaz,587.636065,,CAD actuel,0.0,1933.0,8012.0,0.0,129.0,5.0,516.0,1138.82958333333,,MULTIPOINT (2537112.16700005 1152552.9810048144)
0.0,Bergières-Bossons,130.0,70.0,,,280073872.0,Lausanne,Chemin des Grandes-Roches,5,CAD,1307.4,,Déjà raccordé,0.0,2009.0,8021.0,0.0,240.0,6.0,1152.0,1134.89583333333,,MULTIPOINT (2537652.657000049 1153564.7670047027)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1326023.0,6023.0,884576.0,Lausanne,Avenue de la Gare,15,CAD,4046.869628,,Déjà raccordé,0.0,1957.0,8013.0,0.0,762.0,6.0,3657.6001,1106.42761045494,,MULTIPOINT (2538440.9110000497 1151986.7970048685)
0.0,Ours,175.0,75.0,13210478.0,10478.0,884630.0,Lausanne,Rue Charles-Augustin-Sainte-Beuve,3,CAD,823.1,,Déjà raccordé,0.0,1933.0,8012.0,0.0,155.0,6.0,744.0,1106.31720430108,,MULTIPOINT (2538667.267000049 1152481.3550048147)
,,,,1325351.0,5351.0,2119449.0,Lausanne,Chemin de Bellerive,23,Gaz,3080.694545,,CAD actuel,0.0,1880.0,8011.0,2019.0,912.0,4.0,2918.3999,1055.61079529879,,MULTIPOINT (2537242.0000000517 1151312.00000494)
