Text,Irr,Weekday
-4.77,621.0,1.0
-2.29,761.0,1.0
-0.87,883.0,1.0
0.0,854.0,1.0
0.47,868.0,1.0
0.64,651.0,1.0
0.31,727.0,1.0
0.57,559.0,1.0
1.18,361.0,1.0
0.58,49.0,1.0
-0.25,0.0,1.0
-1.16,0.0,1.0
-2.07,0.0,1.0
-2.93,0.0,1.0
-3.64,0.0,1.0
-4.3,0.0,1.0
1.91,0.0,0.0
2.34,0.0,0.0
2.19,0.0,0.0
1.6,0.0,0.0
1.37,0.0,0.0
1.36,0.0,0.0
1.17,57.0,0.0
2.14,161.0,0.0
3.4,462.0,0.0
4.05,557.0,0.0
4.45,638.0,0.0
4.86,812.0,0.0
4.95,790.0,0.0
5.48,757.0,0.0
5.86,553.0,0.0
6.0,371.0,0.0
5.85,213.0,0.0
5.06,47.0,0.0
4.27,0.0,0.0
3.48,0.0,0.0
2.69,0.0,0.0
1.9,0.0,0.0
1.11,0.0,0.0
0.32,0.0,0.0
3.96,0.0,1.0
3.74,0.0,1.0
3.31,0.0,1.0
3.14,0.0,1.0
3.2,0.0,1.0
2.94,0.0,1.0
2.87,35.0,1.0
3.95,249.0,1.0
6.0,401.0,1.0
8.65,529.0,1.0
10.67,634.0,1.0
11.96,660.0,1.0
12.74,623.0,1.0
12.92,517.0,1.0
12.72,430.0,1.0
12.43,226.0,1.0
11.64,59.0,1.0
10.46,0.0,1.0
9.63,0.0,1.0
9.23,0.0,1.0
8.35,0.0,1.0
6.89,0.0,1.0
4.76,0.0,1.0
3.46,0.0,1.0
11.66,0.0,1.0
11.31,0.0,1.0
10.78,0.0,1.0
10.28,0.0,1.0
9.66,15.0,1.0
9.21,149.0,1.0
10.52,282.0,1.0
12.9,438.0,1.0
14.83,585.0,1.0
15.76,715.0,1.0
15.99,798.0,1.0
16.2,789.0,1.0
16.59,860.0,1.0
16.95,861.0,1.0
16.69,774.0,1.0
16.39,580.0,1.0
16.17,408.0,1.0
15.09,252.0,1.0
14.12,54.0,1.0
14.01,0.0,1.0
12.97,0.0,1.0
12.43,0.0,1.0
12.13,0.0,1.0
11.7,0.0,1.0
