Text,Irr,Weekday
12.91,180.0,0.0
13.93,500.0,0.0
15.52,703.0,0.0
16.73,791.0,0.0
17.58,857.0,0.0
18.33,820.0,0.0
18.93,809.0,0.0
19.11,703.0,0.0
19.39,566.0,0.0
19.42,373.0,0.0
18.95,221.0,0.0
18.1,62.0,0.0
17.61,0.0,0.0
18.0,0.0,0.0
17.69,0.0,0.0
17.15,0.0,0.0
16.71,0.0,0.0
-12.18,41.0,1.0
30.74,874.0,1.0
