,Irr,Text,Weekday,Emissions
825,80.39,-0.75,1,303.514
826,69.88,-0.55,1,295.197
827,75.93,-0.32,1,285.647
828,119.47,-0.3,1,267.1135
829,97.86,0.28,1,248.58
830,101.23,0.97,1,253.141
831,44.46,1.14,1,268.259
832,22.46,1.05,1,269.34
833,1.09,0.78,1,275.842
834,0.02,0.81,1,272.445
835,0.02,0.89,1,262.484
836,0.02,0.45,1,253.781
837,0.02,0.34,1,256.38
838,0.02,-0.04,1,254.497
839,0.02,-0.03,1,248.417
840,0.02,-0.18,0,250.186
841,0.02,-0.5,0,243.56
842,0.02,-0.75,0,256.49
843,0.02,-0.75,0,279.497
844,0.02,-1.09,0,298.33
845,0.02,-0.97,0,315.868
846,0.02,-1.41,0,298.155
847,0.14,-1.19,0,288.187
848,12.23,-1.34,0,286.96
849,31.8,-1.44,0,277.85
850,66.13,-1.38,0,261.67
851,85.05,-0.9,0,263.231
852,92.17,-0.49,0,263.065
853,100.38,-0.14,0,263.065
854,105.6,-0.35,0,262.899
855,67.67,-0.12,0,254.161
856,33.13,-0.15,0,261.9625
857,2.45,-0.15,0,269.764
858,0.03,-0.62,0,285.1685
859,0.03,-0.73,0,300.573
860,0.02,-0.68,0,301.318
861,0.03,-0.78,0,331.629
862,0.02,-1.04,0,323.621
863,0.03,-1.38,0,318.863
864,0.02,-1.46,0,302.74
865,0.02,-1.59,0,285.533
866,0.02,-1.88,0,292.123
867,0.02,-2.2,0,275.471
868,0.02,-2.36,0,259.431
869,0.02,-2.41,0,291.635
870,0.02,-2.41,0,307.235
871,0.15,-2.25,0,288.9
872,9.81,-2.14,0,278.731
873,30.36,-1.96,0,277.437
874,50.9,-1.68,0,270.544
875,81.44,-1.4,0,273.4985
876,102.53,-1.26,0,276.453
877,106.97,-0.83,0,279.199
878,89.99,-0.81,0,285.982
879,65.4,-0.56,0,290.708
880,25.7,-0.67,0,272.731
881,2.75,-0.86,0,276.252
882,0.03,-1.23,0,283.323
883,0.02,-1.12,0,276.621
884,0.02,-1.14,0,292.353
885,0.02,-1.59,0,300.694
886,0.03,-1.94,0,299.057
887,0.02,-1.95,0,311.443
888,0.02,-2.27,1,274.72
889,0.02,-2.04,1,257.574
890,0.02,-2.2,1,257.66
891,0.02,-2.3,1,225.925
892,0.02,-2.16,1,205.565
893,0.03,-2.33,1,221.253
894,0.03,-2.29,1,255.058
895,0.81,-1.82,1,268.848
896,38.84,-1.52,1,258.843
897,87.88,-0.84,1,255.0735
898,177.78,0.06,1,251.304
899,154.72,1.33,1,227.795
900,62.78,2.13,1,216.702
901,48.18,2.89,1,222.928
902,54.86,4.53,1,220.899
903,38.68,4.22,1,212.105
904,17.57,3.66,1,216.541
905,0.97,3.81,1,222.9075
906,0.02,3.62,1,229.274
907,0.02,3.71,1,226.591
908,0.02,3.67,1,215.193
909,0.02,3.66,1,202.633
910,0.02,3.84,1,192.75
911,0.02,4.12,1,200.614
912,0.02,3.64,1,180.225
913,0.02,3.2,1,186.999
914,0.02,2.84,1,191.882
915,0.02,2.5,1,188.5
916,0.03,2.44,1,197.036
917,0.02,2.04,1,218.839
918,0.02,1.52,1,228.855
919,3.15,1.04,1,250.674
920,96.37,1.57,1,250.475
921,220.64,2.45,1,230.47
922,350.52,3.95,1,216.28
923,413.7,5.08,1,215.864
924,471.82,6.24,1,207.025
925,395.76,7.09,1,186.34
926,348.82,7.49,1,182.535
927,148.61,7.64,1,193.348
928,80.19,7.16,1,187.487
929,15.81,6.23,1,202.215
930,0.02,5,1,221.002
931,0.02,4.15,1,203.557
932,0.02,3.57,1,183.343
933,0.02,3.37,1,168.908
934,0.02,3.15,1,149.77
935,0.02,3.08,1,155.243
936,0.02,3.22,1,137.345
937,0.02,5.21,1,125.021
938,0.01,6.78,1,119.224
939,0.03,5.68,1,116.568
940,0.02,5.21,1,109.582
941,0.01,6.74,1,117.046
942,0.02,7.15,1,121.181
943,0.73,6.93,1,124.187
944,32.84,7.05,1,138.156
945,91.99,7.42,1,131.424
946,206.81,8,1,132.465
947,408.94,9,1,131.315
948,511.14,9.99,1,119.233
949,257.64,10.44,1,119.467
950,159.6,9.18,1,116.689
951,153.32,9.41,1,120.13
952,54.85,9.33,1,133.949
953,5.52,8.98,1,145.615
954,0.02,8.82,1,174.292
955,0.02,8.46,1,169.751
956,0.02,7.79,1,151.817
957,0.02,7.37,1,130.705
958,0.01,6.16,1,144.451
959,0.02,6.13,1,131.956
960,0.02,6.09,1,148.876
961,0.02,5.97,1,125.097
962,0.02,5.88,1,124.534
963,0.02,5.26,1,112.454
964,0.01,4.92,1,104.367
965,0.01,5.32,1,112.864
966,0.02,5.85,1,115.685
967,1.05,5.77,1,120.895
968,25.53,5.74,1,115.2
969,101.08,6.42,1,114.464
970,163.07,7.2,1,114.722
971,143.9,8.6,1,113.838
972,182.86,8.53,1,115.389
973,91.42,9.51,1,112.962
974,66.63,11.23,1,105.073
975,27.67,11.31,1,98.291
976,15.2,10.8,1,96.648
977,1.54,6.79,1,109.251
978,0.03,6.02,1,113.535
979,0.01,6.6,1,125.52
980,0.02,6.44,1,118.863
981,0.13,5.22,1,113.57
982,0.02,4.02,1,121.877
983,0.03,3.82,1,122.431
984,0.01,2.82,1,133.05
985,0.02,3.25,1,135.168
986,0.02,3.57,1,132.462
987,0.02,3.04,1,125.245
988,0.02,2.97,1,128.364
989,0.02,3.27,1,146.551
990,0.02,2.72,1,188.429
991,0.06,2.4,1,218.172
992,20.55,2.71,1,256.709
993,30.63,2.46,1,246.677
994,136.2,2.88,1,250.191
995,152.95,3.75,1,239.073
996,176.45,4.55,1,200.94
997,363.91,4.94,1,193.548
998,329.11,5.31,1,199.058
999,75.11,4.83,1,210.416
1000,49.54,4.33,1,216.733
1001,8.7,4.16,1,231.539
1002,0.03,2.78,1,228.369
1003,0.02,2.56,1,229.816
1004,0.02,2.85,1,232.163
1005,0.02,3.09,1,224.93
1006,0.02,2.87,1,227.097
1007,0.02,2.63,1,232.346
1008,0.02,2.49,0,213.634
1009,0.02,2.29,0,199.351
1010,0.02,2.19,0,203.09
1011,0.02,2.43,0,205.769
1012,0.02,2.27,0,217.631
1013,0.02,2.27,0,260.6
1014,0.02,2.24,0,290.701
1015,2.72,2.15,0,296.627
1016,95.62,2.71,0,315.119
1017,230.56,3.49,0,311.189
1018,302.06,3.63,0,300.183
1019,368.6,4.23,0,308.269
1020,370.52,5.03,0,295.227
1021,303.9,5.44,0,284.159
1022,238.25,5.94,0,284.788
1023,224.27,5.95,0,281.959
1024,85.45,6.03,0,292.931
1025,15.52,5.38,0,309.618
1026,0.02,4.57,0,321.121
1027,0.03,3.7,0,286.995
1028,0.02,3.31,0,283.8
1029,0.02,2.91,0,267.571
1030,0.02,2.76,0,264.239
1031,0.02,2.04,0,271.514
1032,0.02,1.32,0,258.194
1033,0.02,0.76,0,253.906
1034,0.02,0.49,0,245.023
1035,0.02,0.2,0,237.138
1036,0.02,0,0,261.28
1037,0.03,-0.14,0,259.394
1038,0.02,-0.14,0,295.667
1039,3.92,-0.27,0,292.375
1040,107.98,0.14,0,275.636
1041,255.47,1,0,273.083
1042,385.96,2.15,0,277.035
1043,465.57,3.42,0,280.182
1044,497.6,4.57,0,266.198
1045,474.11,5.76,0,264.99
1046,402.8,6.51,0,275.508
1047,278.63,7.64,0,271.381
1048,132.76,7.94,0,272.508
1049,17.13,7.59,0,289.509
1050,0.02,6.28,0,286.397
1051,0.02,5.05,0,272.499
1052,0.03,4.32,0,294.035
1053,0.02,3.37,0,304.006
1054,0.02,3.01,0,306.564
1055,0.02,2.46,0,297.678
1056,0.02,2.22,1,290.766
1057,0.02,1.61,1,293.83
1058,0.02,1.33,1,301.473
1059,0.02,1.04,1,301.836
1060,0.01,0.73,1,299.1
1061,0.02,0.47,1,312.924
1062,0.02,0.51,1,320.848
1063,4.4,0.78,1,261.852
1064,109.39,0.87,1,265.491
1065,257.97,1.77,1,275.392
1066,388.5,3.57,1,280.896
1067,471.51,5.39,1,272.546
1068,500.34,6.69,1,272.53
1069,470.12,8.08,1,282.516
1070,402.8,9.58,1,272.205
1071,304.43,10.49,1,260.243
1072,145.75,10.37,1,248.504
1073,36.32,9.41,1,229.293
1074,0.02,8.1,1,246.726
1075,0.02,6.97,1,257.749
1076,0.02,5.95,1,284.337
1077,0.01,5.2,1,295.654
1078,0.01,4.85,1,318.827
1079,0.02,4.04,1,326.583
1080,0.02,3.8,1,311.16
1081,0.02,2.85,1,281.15
1082,0.02,2.71,1,299.555
1083,0.02,2.23,1,298.634
1084,0.02,1.95,1,289.243
1085,0.02,1.35,1,311.454
1086,0.02,1.14,1,272.952
1087,4.28,1.17,1,260.747
1088,116.13,1.3,1,258.298
1089,266.12,2.53,1,286.357
1090,393.61,4.21,1,292.127
1091,481.36,5.85,1,299.378
1092,513.14,7.41,1,277.791
1093,487.36,8.88,1,269.277
1094,412.35,10.29,1,252.907
1095,288.31,11.02,1,231.048
1096,142.29,11.17,1,221.323
1097,22.77,10.37,1,206.604
1098,0.02,8.35,1,216.615
1099,0.02,6.76,1,199.315
1100,0.02,5.85,1,226.618
1101,0.02,5.07,1,245.228
1102,0.02,4.25,1,252.773
1103,0.02,3.74,1,252.835
1104,0.02,3.28,1,236.334
1105,0.02,3.02,1,234.103
1106,0.02,2.47,1,255.904
1107,0.02,2.24,1,253.656
1108,0.02,1.78,1,257.17
1109,0.02,1.55,1,257.811
1110,0.02,1.35,1,256.875
1111,4.87,1.29,1,248.314
1112,133.27,1.87,1,254.368
1113,288.53,3.17,1,234.905
1114,418.65,5.26,1,230.835
1115,503.1,8.18,1,258.326
1116,531.85,10.16,1,256.802
1117,507.46,11.12,1,234.217
1118,434.67,12.18,1,241.155
1119,311.71,13.13,1,240.316
1120,158.46,12.74,1,221.627
1121,25.94,12,1,218.911
1122,0.02,9.98,1,242.005
1123,0.02,8.37,1,252.798
1124,0.02,6.91,1,277.828
1125,0.02,5.96,1,274.862
1126,0.02,5.36,1,269.025
1127,0.02,4.8,1,313.889
1128,0.02,4.02,1,305.461
1129,0.02,3.65,1,310.042
1130,0.02,3.28,1,311.816
1131,0.02,2.73,1,277.684
1132,0.02,2.48,1,250.312
1133,0.02,2.23,1,266.524
1134,0.02,1.84,1,270.826
1135,6.16,1.44,1,251.11
1136,141,1.86,1,238.584
1137,295.5,3.39,1,242.896
1138,431.68,6.09,1,237.484
1139,519.64,8.4,1,238.843
1140,527.98,10.52,1,235.475
1141,498.59,12.23,1,211.031
1142,441.62,13.3,1,200.191
1143,318.42,13,1,200.934
1144,163.8,13.04,1,181.835
1145,29.21,12.59,1,165.627
1146,0.03,11.23,1,169.118
1147,0.02,8.67,1,202.671
1148,0.02,7.19,1,222.53
1149,0.01,6.29,1,221.684
1150,0.01,5.52,1,247.335
1151,0.01,4.71,1,258.414
1152,0.02,4.2,1,228.467
1153,0.02,3.62,1,224.337
1154,0.02,3.08,1,231.065
1155,0.02,2.72,1,219.703
1156,0.02,2.27,1,230.334
1157,0.01,1.96,1,251.115
1158,0.02,2.06,1,237.978
1159,7.87,1.73,1,222.754
1160,139.55,2.53,1,242.445
1161,294.38,4.41,1,248.465
1162,424.26,6.11,1,252.136
1163,503.26,8.56,1,248.003
1164,526.72,9.81,1,241.478
1165,500.9,11.78,1,244.2
1166,430.8,12.88,1,243.599
1167,306.32,13.62,1,239.192
1168,157.82,13,1,212.707
1169,25.07,12.05,1,154.514
1170,0.03,10.11,1,210.798
1171,0.02,8.68,1,221.008
1172,0.02,7.94,1,227.369
1173,0.02,7.31,1,240.908
1174,0.01,6.93,1,241.331
1175,0.02,6.53,1,239.926
1176,0.02,5.94,0,268.03
1177,0.03,5.71,0,243.719
1178,0.02,6.43,0,248.804
1179,0.02,6.67,0,254.218
1180,0.02,5.86,0,263.284
1181,0.02,5.37,0,279.961
1182,0.02,4.39,0,270.594
1183,10.94,4.17,0,272.324
1184,137.7,4.64,0,263.787
1185,276.79,5.66,0,262.846
1186,391.5,7.51,0,260.095
1187,459.33,9.48,0,239.947
1188,498.47,10.77,0,206.659
1189,471.72,11.56,0,208.877
1190,399.28,12,0,221.554
1191,281.9,12.79,0,235.134
1192,150.2,12.98,0,231.888
1193,29.34,12.06,0,248.356
1194,0.02,10.81,0,278.123
1195,0.02,9.43,0,279.055
