,,,GWP_supply
Electricity,5,12,0.484
Electricity,5,13,0.484
Electricity,5,14,0.452
Electricity,5,15,0.422
Electricity,5,16,0.4029999999999999
Electricity,5,17,0.386
Electricity,5,18,0.373
Electricity,5,19,0.501
Electricity,5,20,0.586
Electricity,5,21,0.5479999999999999
Electricity,5,22,0.472
Electricity,5,23,0.481
Electricity,5,24,0.488
Electricity,6,1,0.243
Electricity,6,2,0.243
Electricity,6,3,0.237
Electricity,6,4,0.2319999999999999
Electricity,6,5,0.2239999999999999
Electricity,6,6,0.241
Electricity,6,7,0.46
Electricity,6,8,0.633
Electricity,6,9,0.685
Electricity,6,10,0.639
Electricity,6,11,0.604
Electricity,6,12,0.561
Electricity,6,13,0.513
Electricity,6,14,0.492
Electricity,6,15,0.498
Electricity,6,16,0.4579999999999999
Electricity,6,17,0.4639999999999999
Electricity,6,18,0.483
Electricity,6,19,0.5529999999999999
Electricity,6,20,0.563
Electricity,6,21,0.535
Electricity,6,22,0.379
Electricity,6,23,0.374
Electricity,6,24,0.358
Electricity,7,1,0.426
Electricity,7,2,0.376
Electricity,7,3,0.375
Electricity,7,4,0.355
Electricity,7,5,0.356
Electricity,7,6,0.384
Electricity,7,7,0.472
Electricity,7,8,0.541
Electricity,7,9,0.67
Electricity,7,10,0.7120000000000001
Electricity,7,11,0.703
Electricity,7,12,0.6579999999999999
Electricity,7,13,0.602
Electricity,7,14,0.518
Electricity,7,15,0.505
Electricity,7,16,0.493
Electricity,7,17,0.506
Electricity,7,18,0.5329999999999999
Electricity,7,19,0.5670000000000001
Electricity,7,20,0.6559999999999999
Electricity,7,21,0.644
Electricity,7,22,0.67
Electricity,7,23,0.67
Electricity,7,24,0.5529999999999999
Electricity,8,1,0.442
Electricity,8,2,0.456
Electricity,8,3,0.46
Electricity,8,4,0.452
Electricity,8,5,0.4379999999999999
Electricity,8,6,0.41
Electricity,8,7,0.405
Electricity,8,8,0.424
Electricity,8,9,0.44
Electricity,8,10,0.483
Electricity,8,11,0.498
Electricity,8,12,0.488
Electricity,8,13,0.488
Electricity,8,14,0.45
Electricity,8,15,0.444
Electricity,8,16,0.4379999999999999
Electricity,8,17,0.376
Electricity,8,18,0.377
Electricity,8,19,0.4589999999999999
Electricity,8,20,0.552
Electricity,8,21,0.568
Electricity,8,22,0.589
Electricity,8,23,0.628
Electricity,8,24,0.561
Electricity,9,1,0.245
Electricity,9,2,0.2319999999999999
Electricity,9,3,0.2319999999999999
Electricity,9,4,0.2264999999999999
Electricity,9,5,0.221
Electricity,9,6,0.225
Electricity,9,7,0.29
Electricity,9,8,0.487
Electricity,9,9,0.556
Electricity,9,10,0.597
Electricity,9,11,0.599
Electricity,9,12,0.586
Electricity,9,13,0.5660000000000001
Electricity,9,14,0.5
Electricity,9,15,0.426
Electricity,9,16,0.415
Electricity,9,17,0.446
Electricity,9,18,0.509
Electricity,9,19,0.579
Electricity,9,20,0.6679999999999999
Electricity,9,21,0.6579999999999999
Electricity,9,22,0.513
Electricity,9,23,0.352
Electricity,9,24,0.2339999999999999
Electricity,10,1,0.57
Electricity,10,2,0.506
Electricity,10,3,0.391
Electricity,10,4,0.362
Electricity,10,5,0.358
Electricity,10,6,0.449
Electricity,10,7,0.557
Electricity,10,8,0.633
Electricity,10,9,0.644
Electricity,10,10,0.6579999999999999
Electricity,10,11,0.6609999999999999
Electricity,10,12,0.648
Electricity,10,13,0.657
Electricity,10,14,0.616
Electricity,10,15,0.5379999999999999
Electricity,10,16,0.534
Electricity,10,17,0.556
Electricity,10,18,0.601
Electricity,10,19,0.655
Electricity,10,20,0.6629999999999999
Electricity,10,21,0.6609999999999999
Electricity,10,22,0.6759999999999999
Electricity,10,23,0.672
Electricity,10,24,0.6509999999999999
Electricity,11,1,0.294
Electricity,12,1,0.6759999999999999
