,,,GWP_supply
Electricity,8,23,0.6829999999999999
Electricity,8,24,0.617
Electricity,9,1,0.349
Electricity,9,2,0.32
Electricity,9,3,0.309
Electricity,9,4,0.301
Electricity,9,5,0.283
Electricity,9,6,0.253
Electricity,9,7,0.254
Electricity,9,8,0.275
Electricity,9,9,0.326
Electricity,9,10,0.3
Electricity,9,11,0.283
Electricity,9,12,0.298
Electricity,9,13,0.376
Electricity,9,14,0.3429999999999999
Electricity,9,15,0.31
Electricity,9,16,0.264
Electricity,9,17,0.27
Electricity,9,18,0.264
Electricity,9,19,0.271
Electricity,9,20,0.292
Electricity,9,21,0.299
Electricity,9,22,0.316
Electricity,9,23,0.3
Electricity,9,24,0.284
Electricity,10,1,0.57
Electricity,10,2,0.506
Electricity,10,3,0.391
Electricity,10,4,0.362
Electricity,10,5,0.358
Electricity,10,6,0.449
Electricity,10,7,0.557
Electricity,10,8,0.633
Electricity,10,9,0.644
Electricity,10,10,0.6579999999999999
Electricity,10,11,0.6609999999999999
Electricity,10,12,0.648
Electricity,10,13,0.657
Electricity,10,14,0.616
Electricity,10,15,0.5379999999999999
Electricity,10,16,0.534
Electricity,10,17,0.556
Electricity,10,18,0.601
Electricity,10,19,0.655
Electricity,10,20,0.6629999999999999
Electricity,10,21,0.6609999999999999
Electricity,10,22,0.6759999999999999
Electricity,10,23,0.672
Electricity,10,24,0.6509999999999999
Electricity,11,1,0.465
Electricity,12,1,0.5579999999999999
