,,,GWP_supply
Electricity,7,8,0.56
Electricity,7,9,0.574
Electricity,7,10,0.5529999999999999
Electricity,7,11,0.451
Electricity,7,12,0.4
Electricity,7,13,0.361
Electricity,7,14,0.341
Electricity,7,15,0.321
Electricity,7,16,0.309
Electricity,7,17,0.289
Electricity,7,18,0.291
Electricity,7,19,0.321
Electricity,7,20,0.414
Electricity,7,21,0.411
Electricity,7,22,0.304
Electricity,7,23,0.284
Electricity,7,24,0.268
Electricity,8,1,0.6759999999999999
Electricity,8,2,0.652
Electricity,8,3,0.586
Electricity,8,4,0.5710000000000001
Electricity,8,5,0.5720000000000001
Electricity,8,6,0.565
Electricity,8,7,0.5579999999999999
Electricity,8,8,0.595
Electricity,8,9,0.6459999999999999
Electricity,8,10,0.652
Electricity,8,11,0.657
Electricity,8,12,0.66
Electricity,8,13,0.6659999999999999
Electricity,8,14,0.64
Electricity,8,15,0.629
Electricity,8,16,0.633
Electricity,8,17,0.649
Electricity,8,18,0.6890000000000001
Electricity,8,19,0.7190000000000001
Electricity,8,20,0.718
Electricity,8,21,0.722
Electricity,8,22,0.726
Electricity,8,23,0.741
Electricity,8,24,0.725
Electricity,9,1,0.51
Electricity,9,2,0.4579999999999999
Electricity,9,3,0.407
Electricity,9,4,0.3939999999999999
Electricity,9,5,0.377
Electricity,9,6,0.362
Electricity,9,7,0.34
Electricity,9,8,0.34
Electricity,9,9,0.389
Electricity,9,10,0.4039999999999999
Electricity,9,11,0.386
Electricity,9,12,0.395
Electricity,9,13,0.414
Electricity,9,14,0.3939999999999999
Electricity,9,15,0.3989999999999999
Electricity,9,16,0.386
Electricity,9,17,0.37
Electricity,9,18,0.4
Electricity,9,19,0.488
Electricity,9,20,0.589
Electricity,9,21,0.594
Electricity,9,22,0.62
Electricity,9,23,0.597
Electricity,9,24,0.492
Electricity,10,1,0.637
Electricity,10,2,0.565
Electricity,10,3,0.5670000000000001
Electricity,10,4,0.547
Electricity,10,5,0.527
Electricity,10,6,0.511
Electricity,10,7,0.512
Electricity,10,8,0.522
Electricity,10,9,0.532
Electricity,10,10,0.54
Electricity,10,11,0.563
Electricity,10,12,0.563
Electricity,10,13,0.5820000000000001
Electricity,10,14,0.578
Electricity,10,15,0.585
Electricity,10,16,0.5870000000000001
Electricity,10,17,0.589
Electricity,10,18,0.603
Electricity,10,19,0.6759999999999999
Electricity,10,20,0.755
Electricity,10,21,0.768
Electricity,10,22,0.746
Electricity,10,23,0.743
Electricity,10,24,0.688
Electricity,11,1,0.4679999999999999
Electricity,12,1,0.52
