Hour,Load_Profile
6245,36.65596765
6246,36.1181663
6247,34.26128571
6248,35.18420662
6249,36.10712752
6250,35.11211779
6251,40.21280511
6252,46.77639766
6253,44.91044259
6254,43.04448751
6255,41.17853243
6256,39.31257735
6257,37.44662227
6258,35.5806672
6259,34.88175752
6260,34.29066549
6261,33.69957347
6262,33.10848144
6263,31.37002138
6264,30.17719204
6265,28.9843627
6266,27.00728825
6267,26.50056867
6268,25.99384909
6269,31.14781182
6270,47.45120571
6271,47.70357939
6272,47.95595306
6273,46.65187828
6274,44.93905044
6275,43.2262226
6276,41.51339476
6277,39.80056692
6278,38.08773908
6279,36.37491125
6280,34.66208341
6281,32.97323419
6282,33.11712137
6283,28.57700101
6284,27.72398494
6285,26.87096887
6286,28.13777688
6287,31.06260213
6288,33.98742738
6289,36.91225263
6290,39.83707788
6291,42.76190313
6292,47.25184075
6293,45.66274745
6294,44.07365415
6295,42.48456084
6296,40.89546754
6297,39.30637424
6298,37.71728094
6299,36.12818763
6300,34.53909433
6301,31.6120053
6302,30.50776728
6303,29.40352926
6304,27.4244743
6305,26.78150347
6306,26.9246288
6307,29.76766733
6308,32.61070586
6309,35.45374439
6310,38.29678292
6311,41.13982145
6312,43.98285998
6313,46.99639755
6314,45.16885806
6315,43.34131857
6316,41.51377907
6317,39.68623958
6318,37.85870009
6319,36.0311606
6320,34.19611044
6321,34.19414299
6322,32.56979374
6323,30.7049654
6324,34.05065507
6325,37.39634473
6326,40.74203439
6327,45.6423814
6328,46.0549891
6329,46.46759681
6330,46.88020452
6331,46.21709947
6332,44.53807599
6333,42.85905251
6334,41.18002904
6335,39.50100556
6336,37.82198208
6337,35.58231947
6338,36.19342704
6339,36.80453461
6340,37.41564218
6341,38.02674975
6342,38.63785732
6343,38.82267419
6344,39.96127349
6345,41.09987279
6346,42.23847209
6347,43.37707139
6348,44.5156707
6349,45.65427
6350,46.7928693
6351,47.37104221
6352,45.7221971
6353,44.073352
6354,42.42450689
6355,40.77566179
6356,37.83428797
6357,37.36426328
6358,36.89423858
6359,36.27294617
6360,36.97306431
6361,37.67318245
6362,38.37330059
6363,40.04838651
6364,41.02938871
6365,42.01039092
6366,42.99139312
6367,43.97239533
6368,44.95339754
6369,45.93439974
6370,46.87957376
6371,45.37228076
6372,43.86498775
6373,42.35769475
6374,40.85040174
6375,38.26937172
6376,37.73157036
6377,37.19376901
6378,36.65596765
6379,36.1181663
6380,34.26128571
6381,35.18420662
6382,36.10712752
6383,35.11211779
6384,40.21280511
6385,46.77639766
6386,44.91044259
6387,43.04448751
6388,41.17853243
6389,39.31257735
6390,37.44662227
6391,35.5806672
6392,34.88175752
6393,34.29066549
6394,33.69957347
6395,33.10848144
6396,31.37002138
6397,30.17719204
6398,28.9843627
6399,27.00728825
6400,26.50056867
6401,25.99384909
6402,31.14781182
6403,47.45120571
6404,47.70357939
6405,47.95595306
6406,46.65187828
6407,44.93905044
6408,43.2262226
6409,41.51339476
6410,39.80056692
6411,38.08773908
6412,36.37491125
6413,34.66208341
6414,32.97323419
6415,33.11712137
6416,28.57700101
6417,27.72398494
6418,26.87096887
6419,28.13777688
6420,31.06260213
6421,33.98742738
6422,36.91225263
6423,39.83707788
6424,42.76190313
6425,47.25184075
6426,45.66274745
6427,44.07365415
6428,42.48456084
6429,40.89546754
6430,39.30637424
6431,37.71728094
6432,36.12818763
6433,34.53909433
6434,31.6120053
6435,30.50776728
6436,29.40352926
6437,27.4244743
6438,26.78150347
6439,26.9246288
6440,29.76766733
6441,32.61070586
6442,35.45374439
6443,38.29678292
6444,41.13982145
6445,43.98285998
6446,46.99639755
6447,45.16885806
6448,43.34131857
6449,41.51377907
6450,39.68623958
6451,37.85870009
6452,36.0311606
6453,34.19611044
6454,34.19414299
6455,32.56979374
6456,30.7049654
6457,34.05065507
6458,37.39634473
6459,40.74203439
6460,45.6423814
6461,46.0549891
6462,46.46759681
6463,46.88020452
6464,46.21709947
6465,44.53807599
6466,42.85905251
6467,41.18002904
6468,39.50100556
6469,37.82198208
6470,35.58231947
6471,36.19342704
6472,36.80453461
6473,37.41564218
6474,38.02674975
6475,38.63785732
6476,38.82267419
6477,39.96127349
6478,41.09987279
6479,42.23847209
6480,43.37707139
6481,44.5156707
6482,45.65427
6483,46.7928693
6484,47.37104221
6485,45.7221971
6486,44.073352
6487,42.42450689
6488,40.77566179
6489,37.83428797
6490,37.36426328
6491,36.89423858
6492,36.27294617
6493,36.97306431
6494,37.67318245
6495,38.37330059
6496,40.04838651
6497,41.02938871
6498,42.01039092
6499,42.99139312
6500,43.97239533
6501,44.95339754
6502,45.93439974
6503,46.87957376
6504,45.37228076
6505,43.86498775
6506,42.35769475
6507,40.85040174
6508,38.26937172
6509,37.73157036
6510,37.19376901
6511,36.65596765
6512,36.1181663
6513,34.26128571
6514,35.18420662
6515,36.10712752
6516,35.11211779
6517,40.21280511
6518,46.77639766
6519,44.91044259
6520,43.04448751
6521,41.17853243
6522,39.31257735
6523,37.44662227
6524,35.5806672
6525,34.88175752
6526,34.29066549
6527,33.69957347
6528,33.10848144
6529,31.37002138
6530,30.17719204
6531,28.9843627
6532,27.00728825
6533,26.50056867
6534,25.99384909
6535,31.14781182
6536,47.45120571
6537,47.70357939
6538,47.95595306
6539,46.65187828
6540,44.93905044
6541,43.2262226
6542,41.51339476
6543,39.80056692
6544,38.08773908
6545,36.37491125
6546,34.66208341
6547,32.97323419
6548,33.11712137
6549,28.57700101
6550,27.72398494
6551,26.87096887
6552,28.13777688
6553,31.06260213
6554,33.98742738
6555,36.91225263
6556,39.83707788
6557,42.76190313
6558,47.25184075
6559,45.66274745
6560,44.07365415
6561,42.48456084
6562,40.89546754
6563,39.30637424
6564,37.71728094
6565,36.12818763
6566,34.53909433
6567,31.6120053
6568,30.50776728
6569,29.40352926
6570,27.4244743
6571,26.78150347
6572,26.9246288
6573,29.76766733
6574,32.61070586
6575,35.45374439
6576,38.29678292
6577,41.13982145
6578,43.98285998
6579,46.99639755
6580,45.16885806
6581,43.34131857
6582,41.51377907
6583,39.68623958
6584,37.85870009
6585,36.0311606
6586,34.19611044
6587,34.19414299
6588,32.56979374
6589,30.7049654
6590,34.05065507
6591,37.39634473
6592,40.74203439
6593,45.6423814
6594,46.0549891
6595,46.46759681
6596,46.88020452
6597,46.21709947
6598,44.53807599
6599,42.85905251
6600,41.18002904
6601,39.50100556
6602,37.82198208
6603,35.58231947
6604,36.19342704
6605,36.80453461
6606,37.41564218
6607,38.02674975
6608,38.63785732
6609,38.82267419
6610,39.96127349
6611,41.09987279
6612,42.23847209
6613,43.37707139
6614,44.5156707
6615,45.65427
6616,46.7928693
6617,47.37104221
6618,45.7221971
6619,44.073352
6620,42.42450689
6621,40.77566179
6622,37.83428797
6623,37.36426328
6624,36.89423858
6625,36.27294617
6626,36.97306431
6627,37.67318245
6628,38.37330059
6629,40.04838651
6630,41.02938871
6631,42.01039092
6632,42.99139312
6633,43.97239533
6634,44.95339754
6635,45.93439974
6636,46.87957376
6637,45.37228076
6638,43.86498775
6639,42.35769475
6640,40.85040174
6641,38.26937172
6642,37.73157036
6643,37.19376901
6644,36.65596765
6645,36.1181663
6646,34.26128571
6647,35.18420662
6648,36.10712752
6649,35.11211779
6650,40.21280511
6651,46.77639766
6652,44.91044259
6653,43.04448751
6654,41.17853243
6655,39.31257735
6656,37.44662227
6657,35.5806672
6658,34.88175752
6659,34.29066549
6660,33.69957347
6661,33.10848144
6662,31.37002138
6663,30.17719204
6664,28.9843627
6665,27.00728825
6666,26.50056867
6667,25.99384909
6668,31.14781182
6669,47.45120571
6670,47.70357939
6671,47.95595306
6672,46.65187828
6673,44.93905044
6674,43.2262226
6675,41.51339476
6676,39.80056692
6677,38.08773908
6678,36.37491125
6679,34.66208341
6680,32.97323419
6681,33.11712137
6682,28.57700101
6683,27.72398494
6684,26.87096887
6685,28.13777688
6686,31.06260213
6687,33.98742738
6688,36.91225263
6689,39.83707788
6690,42.76190313
6691,47.25184075
6692,45.66274745
6693,44.07365415
6694,42.48456084
6695,40.89546754
6696,39.30637424
6697,37.71728094
6698,36.12818763
6699,34.53909433
6700,31.6120053
6701,30.50776728
6702,29.40352926
6703,27.4244743
6704,26.78150347
6705,26.9246288
6706,29.76766733
6707,32.61070586
6708,35.45374439
6709,38.29678292
6710,41.13982145
6711,43.98285998
6712,46.99639755
6713,45.16885806
6714,43.34131857
6715,41.51377907
6716,39.68623958
6717,37.85870009
6718,36.0311606
6719,34.19611044
6720,34.19414299
6721,32.56979374
6722,30.7049654
6723,34.05065507
6724,37.39634473
6725,40.74203439
6726,45.6423814
6727,46.0549891
6728,46.46759681
6729,46.88020452
6730,46.21709947
6731,44.53807599
6732,42.85905251
6733,41.18002904
6734,39.50100556
6735,37.82198208
6736,35.58231947
6737,36.19342704
6738,36.80453461
6739,37.41564218
6740,38.02674975
6741,38.63785732
6742,38.82267419
6743,39.96127349
6744,41.09987279
6745,42.23847209
6746,43.37707139
6747,44.5156707
6748,45.65427
6749,46.7928693
6750,47.37104221
6751,45.7221971
6752,44.073352
6753,42.42450689
6754,40.77566179
6755,37.83428797
6756,37.36426328
6757,36.89423858
6758,36.27294617
6759,36.97306431
6760,37.67318245
6761,38.37330059
6762,40.04838651
6763,41.02938871
6764,42.01039092
6765,42.99139312
6766,43.97239533
6767,44.95339754
6768,45.93439974
6769,46.87957376
6770,45.37228076
6771,43.86498775
6772,42.35769475
6773,40.85040174
6774,38.26937172
6775,37.73157036
6776,37.19376901
6777,36.65596765
6778,36.1181663
6779,34.26128571
6780,35.18420662
6781,36.10712752
6782,35.11211779
6783,40.21280511
6784,46.77639766
6785,44.91044259
6786,43.04448751
6787,41.17853243
6788,39.31257735
6789,37.44662227
6790,35.5806672
6791,34.88175752
6792,34.29066549
6793,33.69957347
6794,33.10848144
6795,31.37002138
6796,30.17719204
6797,28.9843627
6798,27.00728825
6799,26.50056867
6800,25.99384909
6801,31.14781182
6802,47.45120571
6803,47.70357939
6804,47.95595306
6805,46.65187828
6806,44.93905044
6807,43.2262226
6808,41.51339476
6809,39.80056692
6810,38.08773908
6811,36.37491125
6812,34.66208341
6813,32.97323419
6814,33.11712137
6815,28.57700101
6816,27.72398494
6817,26.87096887
6818,28.13777688
6819,31.06260213
6820,33.98742738
6821,36.91225263
6822,39.83707788
6823,42.76190313
6824,47.25184075
6825,45.66274745
6826,44.07365415
6827,42.48456084
6828,40.89546754
6829,39.30637424
6830,37.71728094
6831,36.12818763
6832,34.53909433
6833,31.6120053
6834,30.50776728
6835,29.40352926
6836,27.4244743
6837,26.78150347
6838,26.9246288
6839,29.76766733
6840,32.61070586
6841,35.45374439
6842,38.29678292
6843,41.13982145
6844,43.98285998
6845,46.99639755
6846,45.16885806
6847,43.34131857
6848,41.51377907
6849,39.68623958
6850,37.85870009
6851,36.0311606
6852,34.19611044
6853,34.19414299
6854,32.56979374
6855,30.7049654
6856,34.05065507
6857,37.39634473
6858,40.74203439
6859,45.6423814
6860,46.0549891
6861,46.46759681
6862,46.88020452
6863,46.21709947
6864,44.53807599
6865,42.85905251
6866,41.18002904
6867,39.50100556
6868,37.82198208
6869,35.58231947
6870,36.19342704
6871,36.80453461
6872,37.41564218
6873,38.02674975
6874,38.63785732
6875,38.82267419
6876,39.96127349
6877,41.09987279
6878,42.23847209
6879,43.37707139
6880,44.5156707
6881,45.65427
6882,46.7928693
6883,47.37104221
6884,45.7221971
6885,44.073352
6886,42.42450689
6887,40.77566179
6888,37.83428797
6889,37.36426328
6890,36.89423858
6891,36.27294617
6892,36.97306431
6893,37.67318245
6894,38.37330059
6895,40.04838651
6896,41.02938871
6897,42.01039092
6898,42.99139312
6899,43.97239533
6900,44.95339754
6901,45.93439974
6902,46.87957376
6903,45.37228076
6904,43.86498775
6905,42.35769475
6906,40.85040174
6907,38.26937172
6908,37.73157036
6909,37.19376901
6910,36.65596765
6911,36.1181663
6912,34.26128571
6913,35.18420662
6914,36.10712752
6915,35.11211779
6916,40.21280511
6917,46.77639766
6918,44.91044259
6919,43.04448751
6920,41.17853243
6921,39.31257735
6922,37.44662227
6923,35.5806672
6924,34.88175752
6925,34.29066549
6926,33.69957347
6927,33.10848144
6928,31.37002138
6929,30.17719204
6930,28.9843627
6931,27.00728825
6932,26.50056867
6933,25.99384909
6934,31.14781182
6935,47.45120571
6936,47.70357939
6937,47.95595306
6938,46.65187828
