,Area,X,Y,Z,XY,XYZ,azimuth,elevation,Sin_e,Cos_e,Cos_a,Sin_a
44,416420000.0,19709.068826,-92723.87863,30732.416695,94795.38523672435,99652.62915796097,168,18,0.3084,0.9513,-0.9781,0.2079
45,416420000.0,4.7296e-11,-94795.385237,30732.416695,94795.385237,99652.62915822316,180,18,0.3084,0.9513,-1.0,0.0
46,416420000.0,-19709.068826,-92723.87863,30732.416695,94795.38523672435,99652.62915796097,192,18,0.3084,0.9513,-0.9781,-0.2079
47,416420000.0,-38556.75677,-86599.893589,30732.416695,94795.38523708348,99652.62915830259,204,18,0.3084,0.9513,-0.9135,-0.4067
48,416420000.0,-55719.329428,-76691.077645,30732.416695,94795.38523713802,99652.62915835447,216,18,0.3084,0.9513,-0.809,-0.5878
49,416420000.0,-70446.700018,-63430.493604,30732.416695,94795.38523722115,99652.62915843356,228,18,0.3084,0.9513,-0.6691,-0.7431
50,416420000.0,-82095.211777,-47397.692618,30732.416695,94795.38523694543,99652.62915817126,240,18,0.3084,0.9513,-0.5,-0.866
51,416420000.0,-90155.768844,-29293.385027,30732.416695,94795.38523679742,99652.62915803047,252,18,0.3084,0.9513,-0.309,-0.9511
52,416420000.0,-94276.086198,-9908.815944,30732.416695,94795.38523696603,99652.62915819086,264,18,0.3084,0.9513,-0.1045,-0.9945
53,416420000.0,-94276.086198,9908.815944,30732.416695,94795.38523696603,99652.62915819086,276,18,0.3084,0.9513,0.1045,-0.9945
54,416420000.0,-90155.768844,29293.385027,30732.416695,94795.38523679742,99652.62915803047,288,18,0.3084,0.9513,0.309,-0.9511
55,416420000.0,-82095.211777,47397.692618,30732.416695,94795.38523694543,99652.62915817126,300,18,0.3084,0.9513,0.5,-0.866
56,416420000.0,-70446.700018,63430.493604,30732.416695,94795.38523722115,99652.62915843356,312,18,0.3084,0.9513,0.6691,-0.7431
57,416420000.0,-55719.329428,76691.077645,30732.416695,94795.38523713802,99652.62915835447,324,18,0.3084,0.9513,0.809,-0.5878
58,416420000.0,-38556.75677,86599.893589,30732.416695,94795.38523708348,99652.62915830259,336,18,0.3084,0.9513,0.9135,-0.4067
59,416420000.0,-19709.068826,92723.87863,30732.416695,94795.38523672435,99652.62915796097,348,18,0.3084,0.9513,0.9781,-0.2079
60,473980000.0,1.8011e-12,86303.101876,49726.094768,86303.101876,99603.76445845484,0,30,0.4992,0.8665,1.0,0.0
61,473980000.0,22336.886417,83362.394991,49726.094768,86303.10187612876,99603.7644585664,15,30,0.4992,0.8665,0.9659,0.2588
62,473980000.0,43151.550938,74740.67865,49726.094768,86303.10187598922,99603.7644584455,30,30,0.4992,0.8665,0.866,0.5
63,473980000.0,61025.508574,61025.508574,49726.094768,86303.10187606639,99603.76445851236,45,30,0.4992,0.8665,0.7071,0.7071
64,473980000.0,74740.67865,43151.550938,49726.094768,86303.10187598922,99603.7644584455,60,30,0.4992,0.8665,0.5,0.866
65,473980000.0,83362.394991,22336.886417,49726.094768,86303.10187612876,99603.7644585664,75,30,0.4992,0.8665,0.2588,0.9659
66,473980000.0,86303.101876,2.4056e-11,49726.094768,86303.101876,99603.76445845484,90,30,0.4992,0.8665,0.0,1.0
67,473980000.0,83362.394991,-22336.886417,49726.094768,86303.10187612876,99603.7644585664,105,30,0.4992,0.8665,-0.2588,0.9659
68,473980000.0,74740.67865,-43151.550938,49726.094768,86303.10187598922,99603.7644584455,120,30,0.4992,0.8665,-0.5,0.866
69,473980000.0,61025.508574,-61025.508574,49726.094768,86303.10187606639,99603.76445851236,135,30,0.4992,0.8665,-0.7071,0.7071
70,473980000.0,43151.550938,-74740.67865,49726.094768,86303.10187598922,99603.7644584455,150,30,0.4992,0.8665,-0.866,0.5
71,473980000.0,22336.886417,-83362.394991,49726.094768,86303.10187612876,99603.7644585664,165,30,0.4992,0.8665,-0.9659,0.2588
72,473980000.0,8.7161e-12,-86303.101876,49726.094768,86303.101876,99603.76445845484,180,30,0.4992,0.8665,-1.0,0.0
73,473980000.0,-22336.886417,-83362.394991,49726.094768,86303.10187612876,99603.7644585664,195,30,0.4992,0.8665,-0.9659,-0.2588
74,473980000.0,-43151.550938,-74740.67865,49726.094768,86303.10187598922,99603.7644584455,210,30,0.4992,0.8665,-0.866,-0.5
75,473980000.0,-61025.508574,-61025.508574,49726.094768,86303.10187606639,99603.76445851236,225,30,0.4992,0.8665,-0.7071,-0.7071
76,473980000.0,-74740.67865,-43151.550938,49726.094768,86303.10187598922,99603.7644584455,240,30,0.4992,0.8665,-0.5,-0.866
77,473980000.0,-83362.394991,-22336.886417,49726.094768,86303.10187612876,99603.7644585664,255,30,0.4992,0.8665,-0.2588,-0.9659
78,473980000.0,-86303.101876,-8.35e-11,49726.094768,86303.101876,99603.76445845484,270,30,0.4992,0.8665,-0.0,-1.0
79,473980000.0,-83362.394991,22336.886417,49726.094768,86303.10187612876,99603.7644585664,285,30,0.4992,0.8665,0.2588,-0.9659
80,473980000.0,-74740.67865,43151.550938,49726.094768,86303.10187598922,99603.7644584455,300,30,0.4992,0.8665,0.5,-0.866
81,473980000.0,-61025.508574,61025.508574,49726.094768,86303.10187606639,99603.76445851236,315,30,0.4992,0.8665,0.7071,-0.7071
82,473980000.0,-43151.550938,74740.67865,49726.094768,86303.10187598922,99603.7644584455,330,30,0.4992,0.8665,0.866,-0.5
83,473980000.0,-22336.886417,83362.394991,49726.094768,86303.10187612876,99603.7644585664,345,30,0.4992,0.8665,0.9659,-0.2588
84,406730000.0,1.6277e-12,74186.798262,66546.503888,74186.798262,99660.01312503568,0,42,0.6677,0.7444,1.0,0.0
85,406730000.0,19200.956285,71658.944411,66546.503888,74186.79826193654,99660.01312498844,15,42,0.6677,0.7444,0.9659,0.2588
86,406730000.0,37093.399131,64247.65192,66546.503888,74186.79826172006,99660.01312482731,30,42,0.6677,0.7444,0.866,0.5
87,406730000.0,52457.988126,52457.988126,66546.503888,74186.79826259597,99660.01312547934,45,42,0.6677,0.7444,0.7071,0.7071
88,406730000.0,64247.65192,37093.399131,66546.503888,74186.79826172006,99660.01312482731,60,42,0.6677,0.7444,0.5,0.866
89,406730000.0,71658.944411,19200.956285,66546.503888,74186.79826193654,99660.01312498844,75,42,0.6677,0.7444,0.2588,0.9659
90,406730000.0,74186.798262,1.8327e-11,66546.503888,74186.798262,99660.01312503568,90,42,0.6677,0.7444,0.0,1.0
91,406730000.0,71658.944411,-19200.956285,66546.503888,74186.79826193654,99660.01312498844,105,42,0.6677,0.7444,-0.2588,0.9659
92,406730000.0,64247.65192,-37093.399131,66546.503888,74186.79826172006,99660.01312482731,120,42,0.6677,0.7444,-0.5,0.866
93,406730000.0,52457.988126,-52457.988126,66546.503888,74186.79826259597,99660.01312547934,135,42,0.6677,0.7444,-0.7071,0.7071
94,406730000.0,37093.399131,-64247.65192,66546.503888,74186.79826172006,99660.01312482731,150,42,0.6677,0.7444,-0.866,0.5
95,406730000.0,19200.956285,-71658.944411,66546.503888,74186.79826193654,99660.01312498844,165,42,0.6677,0.7444,-0.9659,0.2588
96,406730000.0,6.9695e-12,-74186.798262,66546.503888,74186.798262,99660.01312503568,180,42,0.6677,0.7444,-1.0,0.0
97,406730000.0,-19200.956285,-71658.944411,66546.503888,74186.79826193654,99660.01312498844,195,42,0.6677,0.7444,-0.9659,-0.2588
98,406730000.0,-37093.399131,-64247.65192,66546.503888,74186.79826172006,99660.01312482731,210,42,0.6677,0.7444,-0.866,-0.5
99,406730000.0,-52457.988126,-52457.988126,66546.503888,74186.79826259597,99660.01312547934,225,42,0.6677,0.7444,-0.7071,-0.7071
100,406730000.0,-64247.65192,-37093.399131,66546.503888,74186.79826172006,99660.01312482731,240,42,0.6677,0.7444,-0.5,-0.866
101,406730000.0,-71658.944411,-19200.956285,66546.503888,74186.79826193654,99660.01312498844,255,42,0.6677,0.7444,-0.2588,-0.9659
102,406730000.0,-74186.798262,-7.3118e-11,66546.503888,74186.798262,99660.01312503568,270,42,0.6677,0.7444,-0.0,-1.0
103,406730000.0,-71658.944411,19200.956285,66546.503888,74186.79826193654,99660.01312498844,285,42,0.6677,0.7444,0.2588,-0.9659
104,406730000.0,-64247.65192,37093.399131,66546.503888,74186.79826172006,99660.01312482731,300,42,0.6677,0.7444,0.5,-0.866
105,406730000.0,-52457.988126,52457.988126,66546.503888,74186.79826259597,99660.01312547934,315,42,0.6677,0.7444,0.7071,-0.7071
106,406730000.0,-37093.399131,64247.65192,66546.503888,74186.79826172006,99660.01312482731,330,42,0.6677,0.7444,0.866,-0.5
