hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
287	1	12	23	0	0	0	0	0	-7.4
288	1	12	24	0	0	0	0	0	-7.4
289	1	13	1	0	0	0	0	0	-7.1
290	1	13	2	0	0	0	0	0	-6.8
291	1	13	3	0	0	0	0	0	-6.5
292	1	13	4	0	0	0	0	0	-6.3
293	1	13	5	0	0	0	0	0	-6.1
294	1	13	6	0	0	0	0	0	-6.0
295	1	13	7	0	0	0	0	0	-5.8
296	1	13	8	0	0	0	0	0	-5.7
297	1	13	9	2	2	2	2	0	-5.5
298	1	13	10	57	55	57	55	11	-3.9
299	1	13	11	106	104	106	104	9	-2.5
300	1	13	12	164	148	164	148	46	-1.0
301	1	13	13	181	162	181	162	51	0.1
302	1	13	14	222	169	222	169	148	1.2
303	1	13	15	176	137	176	137	131	1.7
304	1	13	16	122	89	122	89	157	1.7
305	1	13	17	32	30	32	30	28	0.8
306	1	13	18	0	0	0	0	0	-0.1
307	1	13	19	0	0	0	0	0	-0.3
308	1	13	20	0	0	0	0	0	-0.5
309	1	13	21	0	0	0	0	0	-0.6
310	1	13	22	0	0	0	0	0	-0.8
311	1	13	23	0	0	0	0	0	-0.9
312	1	13	24	0	0	0	0	0	-1.1
313	1	14	1	0	0	0	0	0	-1.6
314	1	14	2	0	0	0	0	0	-2.1
315	1	14	3	0	0	0	0	0	-2.6
316	1	14	4	0	0	0	0	0	-2.8
317	1	14	5	0	0	0	0	0	-3.1
318	1	14	6	0	0	0	0	0	-3.3
319	1	14	7	0	0	0	0	0	-3.5
320	1	14	8	0	0	0	0	0	-3.7
321	1	14	9	7	7	7	7	0	-3.4
322	1	14	10	37	37	37	37	0	-2.8
323	1	14	11	23	23	23	23	0	-2.8
324	1	14	12	30	30	30	30	0	-2.8
325	1	14	13	202	161	202	161	108	-1.4
326	1	14	14	220	161	220	161	164	-0.4
327	1	14	15	233	100	233	100	434	0.4
328	1	14	16	179	68	179	68	524	0.8
329	1	14	17	75	35	75	35	491	0.4
330	1	14	18	0	0	0	0	0	-0.3
331	1	14	19	0	0	0	0	0	-0.9
332	1	14	20	0	0	0	0	0	-1.4
333	1	14	21	0	0	0	0	0	-2.0
334	1	14	22	0	0	0	0	0	-2.5
335	1	14	23	0	0	0	0	0	-3.1
336	1	14	24	0	0	0	0	0	-3.6
337	1	15	1	0	0	0	0	0	-4.1
338	1	15	2	0	0	0	0	0	-4.7
339	1	15	3	0	0	0	0	0	-5.2
340	1	15	4	0	0	0	0	0	-5.5
341	1	15	5	0	0	0	0	0	-5.7
342	1	15	6	0	0	0	0	0	-6.0
343	1	15	7	0	0	0	0	0	-6.2
344	1	15	8	0	0	0	0	0	-6.4
345	1	15	9	2	2	2	2	0	-6.3
346	1	15	10	65	48	65	48	102	-5.0
347	1	15	11	117	112	117	112	18	-3.9
348	1	15	12	193	159	193	159	98	-2.6
349	1	15	13	226	179	226	179	127	-1.6
350	1	15	14	191	164	191	164	74	-1.1
351	1	15	15	142	134	142	134	27	-1.1
352	1	15	16	89	86	89	86	17	-1.5
353	1	15	17	42	34	42	34	99	-2.1
354	1	15	18	0	0	0	0	0	-3.0
355	1	15	19	0	0	0	0	0	-3.1
356	1	15	20	0	0	0	0	0	-3.3
357	1	15	21	0	0	0	0	0	-3.5
358	1	15	22	0	0	0	0	0	-3.6
359	1	15	23	0	0	0	0	0	-3.8
360	1	15	24	0	0	0	0	0	-4.0
361	1	16	1	0	0	0	0	0	-4.0
362	1	16	2	0	0	0	0	0	-4.1
363	1	16	3	0	0	0	0	0	-4.1
364	1	16	4	0	0	0	0	0	-4.2
365	1	16	5	0	0	0	0	0	-4.2
366	1	16	6	0	0	0	0	0	-4.2
367	1	16	7	0	0	0	0	0	-4.2
368	1	16	8	0	0	0	0	0	-4.2
369	1	16	9	6	6	6	6	0	-3.8
370	1	16	10	71	63	71	63	48	-2.4
371	1	16	11	147	121	147	121	94	-0.7
372	1	16	12	195	162	195	162	94	0.7
373	1	16	13	201	173	201	173	74	1.5
374	1	16	14	150	143	150	143	17	1.8
375	1	16	15	176	130	176	130	150	2.1
376	1	16	16	70	70	70	70	0	1.5
377	1	16	17	56	41	56	41	158	1.0
378	1	16	18	0	0	0	0	0	0.1
379	1	16	19	0	0	0	0	0	-0.2
380	1	16	20	0	0	0	0	0	-0.4
381	1	16	21	0	0	0	0	0	-0.7
382	1	16	22	0	0	0	0	0	-0.9
383	1	16	23	0	0	0	0	0	-1.2
384	1	16	24	0	0	0	0	0	-1.5
385	1	17	1	0	0	0	0	0	-1.8
386	1	17	2	0	0	0	0	0	-2.2
387	1	17	3	0	0	0	0	0	-2.6
388	1	17	4	0	0	0	0	0	-2.8
389	1	17	5	0	0	0	0	0	-2.9
390	1	17	6	0	0	0	0	0	-3.1
391	1	17	7	0	0	0	0	0	-3.2
392	1	17	8	0	0	0	0	0	-3.3
393	1	17	9	7	7	7	7	0	-3.1
394	1	17	10	113	83	113	83	179	-0.9
395	1	17	11	207	82	207	82	449	1.1
396	1	17	12	286	93	286	93	547	2.9
397	1	17	13	337	81	337	81	666	4.4
398	1	17	14	330	70	330	70	701	5.4
399	1	17	15	277	97	277	97	569	5.7
400	1	17	16	113	87	113	87	121	4.8
401	1	17	17	49	33	49	33	176	3.6
402	1	17	18	0	0	0	0	0	2.3
403	1	17	19	0	0	0	0	0	2.0
404	1	17	20	0	0	0	0	0	1.7
405	1	17	21	0	0	0	0	0	1.4
406	1	17	22	0	0	0	0	0	1.1
407	1	17	23	0	0	0	0	0	0.7
408	1	17	24	0	0	0	0	0	0.4
409	1	18	1	0	0	0	0	0	0.0
410	1	18	2	0	0	0	0	0	-0.3
411	1	18	3	0	0	0	0	0	-0.7
412	1	18	4	0	0	0	0	0	-0.9
413	1	18	5	0	0	0	0	0	-1.1
414	1	18	6	0	0	0	0	0	-1.3
415	1	18	7	0	0	0	0	0	-1.5
416	1	18	8	0	0	0	0	0	-1.6
417	1	18	9	10	10	10	10	0	-1.2
418	1	18	10	135	80	135	80	316	1.4
419	1	18	11	230	96	230	96	473	3.5
420	1	18	12	357	102	357	102	719	5.9
421	1	18	13	353	112	353	112	622	7.3
422	1	18	14	302	128	302	128	464	7.9
423	1	18	15	211	125	211	125	271	7.7
424	1	18	16	156	66	156	66	403	7.0
425	1	18	17	57	31	57	31	267	5.8
426	1	18	18	0	0	0	0	0	4.4
427	1	18	19	0	0	0	0	0	4.2
428	1	18	20	0	0	0	0	0	4.0
429	1	18	21	0	0	0	0	0	3.8
430	1	18	22	0	0	0	0	0	3.6
431	1	18	23	0	0	0	0	0	3.4
432	1	18	24	0	0	0	0	0	3.3
433	1	19	1	0	0	0	0	0	3.1
434	1	19	2	0	0	0	0	0	3.0
435	1	19	3	0	0	0	0	0	2.9
436	1	19	4	0	0	0	0	0	2.8
437	1	19	5	0	0	0	0	0	2.8
438	1	19	6	0	0	0	0	0	2.7
439	1	19	7	0	0	0	0	0	2.7
440	1	19	8	0	0	0	0	0	2.6
