,,,GWP_supply
Electricity,6,21,0.665
Electricity,6,22,0.654
Electricity,6,23,0.71
Electricity,6,24,0.614
Electricity,7,1,0.48
Electricity,7,2,0.377
Electricity,7,3,0.32
Electricity,7,4,0.325
Electricity,7,5,0.32
Electricity,7,6,0.396
Electricity,7,7,0.54
Electricity,7,8,0.596
Electricity,7,9,0.7120000000000001
Electricity,7,10,0.7190000000000001
Electricity,7,11,0.71
Electricity,7,12,0.701
Electricity,7,13,0.69
Electricity,7,14,0.611
Electricity,7,15,0.508
Electricity,7,16,0.534
Electricity,7,17,0.5379999999999999
Electricity,7,18,0.552
Electricity,7,19,0.695
Electricity,7,20,0.7290000000000001
Electricity,7,21,0.718
Electricity,7,22,0.703
Electricity,7,23,0.711
Electricity,7,24,0.606
Electricity,8,1,0.5720000000000001
Electricity,8,2,0.531
Electricity,8,3,0.504
Electricity,8,4,0.508
Electricity,8,5,0.511
Electricity,8,6,0.539
Electricity,8,7,0.62
Electricity,8,8,0.688
Electricity,8,9,0.7490000000000001
Electricity,8,10,0.748
Electricity,8,11,0.715
Electricity,8,12,0.6920000000000001
Electricity,8,13,0.6459999999999999
Electricity,8,14,0.638
Electricity,8,15,0.642
Electricity,8,16,0.664
Electricity,8,17,0.6890000000000001
Electricity,8,18,0.7509999999999999
Electricity,8,19,0.7829999999999999
Electricity,8,20,0.816
Electricity,8,21,0.7979999999999999
Electricity,8,22,0.754
Electricity,8,23,0.7979999999999999
Electricity,8,24,0.684
Electricity,9,1,0.4539999999999999
Electricity,9,2,0.426
Electricity,9,3,0.418
Electricity,9,4,0.423
Electricity,9,5,0.41
Electricity,9,6,0.401
Electricity,9,7,0.38
Electricity,9,8,0.377
Electricity,9,9,0.3989999999999999
Electricity,9,10,0.4479999999999999
Electricity,9,11,0.445
Electricity,9,12,0.471
Electricity,9,13,0.48
Electricity,9,14,0.496
Electricity,9,15,0.5
Electricity,9,16,0.501
Electricity,9,17,0.499
Electricity,9,18,0.486
Electricity,9,19,0.4379999999999999
Electricity,9,20,0.452
Electricity,9,21,0.505
Electricity,9,22,0.652
Electricity,9,23,0.669
Electricity,9,24,0.63
Electricity,10,1,0.6759999999999999
Electricity,10,2,0.64
Electricity,10,3,0.595
Electricity,10,4,0.5770000000000001
Electricity,10,5,0.5579999999999999
Electricity,10,6,0.561
Electricity,10,7,0.593
Electricity,10,8,0.624
Electricity,10,9,0.655
Electricity,10,10,0.6679999999999999
Electricity,10,11,0.657
Electricity,10,12,0.6509999999999999
Electricity,10,13,0.657
Electricity,10,14,0.654
Electricity,10,15,0.644
Electricity,10,16,0.637
Electricity,10,17,0.632
Electricity,10,18,0.6659999999999999
Electricity,10,19,0.718
Electricity,10,20,0.726
Electricity,10,21,0.713
Electricity,10,22,0.713
Electricity,10,23,0.732
Electricity,10,24,0.69
Electricity,11,1,0.0
Electricity,12,1,0.0
